0,0,0,0,0,0,0,0,-9,0,9,0,-9,-16,0,-445,12,444,6,-427,-782,0
10,0,0,0,0,0,-1,0,-18,0,18,0,-17,-31,0,-445,12,444,6,-427,-782,0
20,-1,0,1,0,-1,-1,0,-27,1,27,0,-26,-47,0,-445,12,444,6,-427,-782,0
30,-1,0,1,0,-1,-3,0,-36,1,36,0,-34,-63,0,-445,12,444,6,-427,-782,0
40,-2,0,2,0,-2,-4,0,-44,1,44,1,-43,-78,0,-445,12,444,6,-427,-782,0
50,-3,0,3,0,-3,-6,0,-53,1,53,1,-51,-94,0,-445,12,444,6,-427,-782,0
60,-4,0,4,0,-4,-8,0,-62,2,62,1,-60,-110,0,-445,12,444,6,-427,-782,0
70,-6,0,6,0,-5,-10,0,-71,2,71,1,-68,-125,0,-445,12,444,6,-427,-782,0
80,-7,0,7,0,-7,-13,0,-80,2,80,1,-77,-141,0,-445,12,444,6,-427,-782,0
90,-9,0,9,0,-9,-16,0,-89,2,89,1,-85,-156,0,-445,12,444,6,-427,-782,0
100,-11,0,11,0,-10,-19,0,-98,3,98,1,-94,-172,0,-445,12,444,6,-427,-782,0
110,-13,0,13,0,-12,-23,0,-107,3,107,1,-102,-188,0,-445,12,444,6,-427,-782,0
120,-15,0,15,0,-14,-26,0,-116,3,116,1,-111,-203,0,-445,12,444,6,-427,-782,0
130,-17,0,17,0,-17,-31,0,-125,3,124,2,-119,-219,0,-445,12,444,6,-427,-782,0
140,-20,1,20,0,-19,-35,0,-133,4,133,2,-128,-235,0,-445,12,444,6,-427,-782,0
150,-23,1,23,0,-22,-40,0,-142,4,142,2,-137,-250,0,-445,12,444,6,-427,-782,0
160,-26,1,26,0,-25,-45,0,-151,4,151,2,-145,-266,0,-445,12,444,6,-427,-782,0
170,-29,1,29,0,-28,-51,0,-160,4,160,2,-154,-282,0,-445,12,444,6,-427,-782,0
180,-32,1,32,0,-31,-56,0,-169,5,169,2,-162,-297,0,-445,12,444,6,-427,-782,0
190,-36,1,36,0,-34,-63,0,-178,5,178,2,-171,-313,0,-445,12,444,6,-427,-782,0
200,-39,1,39,1,-38,-69,0,-187,5,187,2,-179,-329,0,-445,12,444,6,-427,-782,0
210,-43,1,43,1,-41,-76,0,-196,5,196,3,-188,-344,0,-445,12,444,6,-427,-782,0
220,-47,1,47,1,-45,-83,0,-205,5,204,3,-196,-360,0,-445,12,444,6,-427,-782,0
230,-51,1,51,1,-49,-90,0,-213,6,213,3,-205,-375,0,-445,12,444,6,-427,-782,0
240,-56,1,56,1,-53,-98,0,-222,6,222,3,-213,-391,0,-445,12,444,6,-427,-782,0
250,-60,2,60,1,-58,-106,0,-231,6,231,3,-222,-407,0,-445,12,444,6,-427,-782,0
260,-65,2,65,1,-62,-114,0,-240,6,240,3,-230,-422,0,-445,12,444,6,-427,-782,0
270,-70,2,70,1,-67,-123,0,-249,7,249,3,-239,-438,0,-445,12,444,6,-427,-782,0
280,-75,2,75,1,-72,-132,0,-258,7,258,3,-248,-454,0,-445,12,444,6,-427,-782,0
290,-80,2,80,1,-77,-141,0,-267,7,267,3,-256,-469,0,-445,12,444,6,-427,-782,0
300,-85,2,85,1,-82,-150,0,-276,7,275,4,-265,-485,0,-445,12,444,6,-427,-782,0
